Part Number,Quantity,Manufacturer
KSL3F220K-L516B ,800 ,AEC 
KSL3F270K-L516B ,800 ,AEC 
KSL3F390K-L516B ,800 ,AEC 
TSL3A150K-L516B ,800 ,AEC 
TSL3A270K-L516B ,800 ,AEC 
MLX91208LDC-CAH-000-... ,772 ,MELEXIS 
A466-29 ,750 ,Seastrom 
LM53625MQRNLTQ1 ,750 ,TI 
NTH407CR ,708 ,Pulse 
15326900 ,700 ,DELPHI / FCI 
ERJ-1GE0R00C ,700 ,Panasonic 
GP55-3322-FTW ,700 ,RCD Components 
TDA9814T/V3 ,700 ,Philips 
M27C512-20B1 ,689 ,STM 
3-640427-3 ,681 ,TE Connectivity 
AM29LV400BB-90EC ,680 ,AMD 
AMP 3-640442-2 ,660 ,TE / Tyco 
CD4051BCMTC ,650 ,Fairchild 
BFP640ESDH6327 ,631 ,Infineon 
207719-1 ,626 ,Tyco/AMP 
10035690-002-4WLF ,624 ,FCI / Amphenol 
DS26LV32ATM ,614 ,NSC 
163J16519X-S ,580 ,CONEC Elektronische Bauelemente Gmbh 
7AM209A5 ,537 ,Texas Instruments 
AJ1-X0-08-601-5P3-D ,521 ,CarlingSwitch 
RY530005 ,519 ,TE 
533980271 ,516 ,Molex 
BACC47CN2 ,516 ,Spacecraft Components Corp. 
222213538221 ,500 ,Vishay 
2N3700JANTX ,500 ,Semicoa 
75P203 ,500 ,Spectrol / Vishay 
8214-SS-0632 ,500 ,Amatom Electronic Hardware 
AQY210KS ,500 ,Pewa 
DRV8432DKDR ,500 ,Texas Instruments 
EEUFC2A101B ,500 ,Panasonic 
ERJ-8ENF6811V ,500 ,Panasonic 
NAS1101E00-3 ,500 ,B&B 
P26/16-3C81 ,500 ,Ferroxcube 
PBL38620/1R1 ,500 ,Ericsson 
SDA5650X ,500 ,Siemens 
TP-101-10-T ,500 ,Components Corporation 
NE555N ,492 ,Philips 
30BQ015TRPBF ,484 ,Vishay 
TOL-C152DSW14BD ,476 ,Taiwan Oasis 
1393533-2 ,450 ,TE Connectivity 
MBU20 ,450 ,FARNELL 
ISL6559CR ,447 ,Intersil 
UPD78F1804AK8A-3B4-G ,439 ,Renesas 
DIN65339-05015B ,419 ,LISI Aerospace 
MMBZ27VCLT1G ,418 ,ON SEMI 
74S32PC ,415 ,Fairchild Semiconductor 
SN74F32N ,415 ,Texas Instruments 
TSOP18385-B3 ,414 ,Vishay 
BACN10JR3CW ,401 ,ALCOA Fastening Systems 
1N4007 ,400 ,General Semi 
851P935852R0100 ,400 ,Astec 
DTSM-32NVR3 ,400 ,Diptronics 
FPH1-7104NC ,400 ,FUJITAKA 
MSM82C55A-2RS ,400 ,OKI 
PCF8574P ,400 ,Philips 
RL255-B ,400 ,MICROSEMI 
1-794615-6 ,392 ,TE Connectivity 
SSM2166 ,392 ,Analog Devices 
BYX90G ,375 ,Hitachi 
PAA150P ,375 ,Clare 
CC1206KKX7R8BB106 ,372 ,Yageo 
3c90 ,369 ,Ferroxcube 
MB96F356RSBPMC1-GS... ,360 ,Cypress Semiconductor Corp. 
M27C512-12F1L ,351 ,STM 
GCM1885C2A102JA16D ,350 ,Murata 
L-1503CB/1LYD ,340 ,Kingbright 
MUR1100ERL ,339 ,On Semi 
15326836 ,334 ,Delphi 
SMA5J6.0CA-E3/61 ,320 ,VISHAY 
M24C64-WMN6 ,317 ,ST Micro 
55959-1830 ,312 ,Molex 
PCF8574T ,307 ,Philips / NXP 
24C32W6 ,300 ,STM 
BD4746G-TR ,300 ,ROHM 
ECEA1AKS101 ,300 ,PANASONIC 
MS28778-6 ,300 ,Parker 
RNC50J1690DS ,300 ,Vishay 
39281163 ,298 ,MOLEX 
75869-130 ,298 ,FCI-Berg 
VNB20N07 ,287 ,STMicroelectronics 
1N5615/1 ,283 ,"General Semiconductor, Inc. "
5-103166-4 ,272 ,TE / Tyco 
SJ-5306 ,269 ,Eurocopter / 3M 
B82464G4104M ,250 ,Epcos 
LM53635MQRNLTQ1 ,250 ,TI 
PC44ER9.5/5-Z ,250 ,TDK 
SN74LS00N ,248 ,National Semiconductor 
PC82C251TD ,242 ,NXP 
AM28F010A-120JI ,240 ,AMD 
M27C4001-10B1 ,240 ,STM 
HY57V643220CT-47 ,228 ,Hynix 
SN74LS12N ,220 ,Motorola 
42-12-LF ,213 ,Birtcher 
PC87351-ICK/VLA ,213 ,National Semiconductor 
ECA2AM4R7 ,203 ,Microsemi 
045102.5MRL ,200 ,Littelfuse 
60279-1 ,200 ,TE Connectivity 
640903-1 ,200 ,TE Connectivity 
7145-0049 ,200 ,SUMITOMO 
C9930-80003 ,200 ,Hewlett Packard 
CNTL10XW102M ,200 ,Murata 
CNY17-4 ,200 ,Infineon 
E0737B0816 ,200 ,Eurocopter 
LMC555CMM/NOPB ,200 ,National Semiconductor 
04022R222J9B200 ,197 ,Philips 
SS-400-1-4ST ,197 ,Swagelok 
87832-1620 ,196 ,Molex 
QS5920APA ,195 ,Integrated Device Technology 
H1200 ,190 ,Pulse 
LTC1384CSW#PBF ,180 ,Linear 
85200053990 ,160 ,Astec 
74F164N ,155 ,Philips and Signetics Corp. 
3mmX10.5mm ,150 ,Alegro 
480054-3 ,150 ,Tyco/AMP 
91910-21569 ,150 ,FCI-Berg 
AT24C64BN10SU1.8 ,150 ,Atmel 
EEU-FC1C331 ,150 ,Panasonic 
EEU-FR1V471L ,150 ,Panasonic 
HSMG-C670 ,150 ,Hewlett Packard 
MPSS156-7-B ,150 ,Pancon Corporation 
SM3 x 8-2701 ,150 ,Hex Seal 
TOL-30AUWDCOA ,150 ,Taiwan Oasis Technology Co. 
HM1-65162C/883 ,149 ,Intersil 
R76PI2820SE30K ,149 ,Arcotronics 
MPSS156-9-B ,146 ,Pancon Corporation 
SPUJ19316A ,146 ,N/A 
851A832009R1800 ,144 ,ASTEC 
M27C4001-10F1 ,144 ,STM 
D38999-24MB5PN ,143 ,Deutsch 
TCM129C23DW ,140 ,Texas Instruments 
NTH411BY ,127 ,Pulse 
H8/338 ,124 ,Hitachi / Renesas 
PSB21553EV1.4-G ,123 ,INTEL 
B035JU182A90 ,120 ,ASTEC 
HE501N09AP3 ,120 ,Souriau 
1-111623-1 ,119 ,TE Connectivity 
NAS514P632-8 ,119 ,National Aerospace 
1N5615 ,115 ,"General Semiconductor, Inc. "
M39029/29-214-08-PS ,110 ,Amphenol / AVX 
TE28F008-BVB90 ,107 ,INTEL 
ESQ-132-12-G-D ,103 ,Samtec 
N13-44T-00028-R1-33 ,102.096 ,New England Wire Technologies Corp. 
21-129-J ,100 ,Ferronics Inc. 
2283210 ,100 ,Escubedo 
2283310 ,100 ,Escubedo 
25C166 ,100 ,STM 
51065-0300 ,100 ,Molex 
5404.01 ,100 ,Escubedo 
5410.01 ,100 ,Escubedo 
5819.01 ,100 ,Escubedo 
8348 ,100 ,HH Smith 
B1UR5816A ,100 ,AVX / Kyocera 
BK/C515-2.25A ,100 ,Bussmann 
C0402C160J3GAC3810 ,100 ,Kemet 
EEU-EB1J2R2 ,100 ,Panasonic 
EEU-FC1C102S ,100 ,Panasonic 
ERJ-2RKF1000X ,100 ,Panasonic 
G6S-2-Y DC5 ,100 ,Omron 
G88D40P7MKAL ,100 ,ITT Cannon 
IR25604SPBF ,100 ,Infineon 
ISL9R3060G2 ,100 ,Fairchild 
J412-6WM (M39016/9-01... ,100 ,Teledyne Relais 
MAX824LEUK+ ,100 ,Maxim Integrated 
MAX903ESA ,100 ,Maxim Integrated 
MPSS-156-15-CB ,100 ,ITW Pancon 
OPA2137UA ,100 ,Texas Instruments 
RS3J0RNP ,100 ,N/A 
RS3J22RNP ,100 ,N/A 
TLP620-4GB ,100 ,Toshiba 
UPW1V221MPD6 ,100 ,Nichicon 
AJ1-X0-05-907-XP3-D ,97 ,Carlingswitch 
Junta Torica ,96 ,Epidor 
Swehand General Size 7 ,96 ,Swehand 
P81AB ,94 ,National Semiconductor 
CR3253-5-05 ,93 ,Logix Gulf Aviation 
TDA8574T ,91 ,NXP Semiconductor 
30260281000 ,90 ,TE 
7165-0001 ,90 ,Sumitomo 
C22J13S205DQF ,90 ,ITT / C&K 
CY7C025E-25AXI ,90 ,Cypress Semiconductor Corp. 
MS3181-20NA ,90 ,SunBank 
BS800NN ,88 ,Canal Electronics 
NTH524AC ,87 ,PULSE 
9330006104 ,86 ,HARTING 
LXT304APE ,86 ,Intel 
103673-3 ,84 ,TE Connectivity 
DS3316P-473MLB ,80 ,Coilcraft 
ECA-1CHG470 ,80 ,Panasonic 
UPW1H331MPD ,80 ,Nichicon 
A1071BUFF ,79 ,USECO 
PCF8562TT/2-T ,76 ,Philips / NXP 
NTT431AD ,72 ,Pulse 
0462-201-16141 ,70 ,TE DEUTSCH 
ASC5730Y ,70 ,Alegro 
SF4521-6006 ,70 ,SV Microwave 
Symbol-Touch-14 ,70 ,Motorola 
TC5564APL-15 ,70 ,Toshiba 
UPT2W151MRD6 ,70 ,NICHICON 
MS3180-10CA ,68 ,Glenair 
MWD130097831 ,68 ,Schneider Electric 
CYP15G0401DX-BGC ,64 ,Cypress Semi 
620312129470 ,63 ,Bourns/RUF 
AQ302934 ,62 ,Artus 
3S3120 ,59 ,Kayer 
ABCIRP1620KLKP3 ,58 ,AB Connectors 
UPD78P0308GC-8EU-A ,58 ,Renesas / NEC 
VP41BA103FAT ,55 ,Boran Tech 
PAL16L8BCN ,54 ,Lattice Semiconductor 
HA2-2622-2 ,52 ,Intersil 
MC145407P ,52 ,Motorola 
123-56LD-A13 ,50 ,Daewon 
8242-4132 ,50 ,Sumitomo 
ADC12040CIVY ,50 ,National Semiconductor 
APT80GA90LD40 ,50 ,Microsemi / Microchip 
CBD3W3F00000 ,50 ,"Positronic Industries, Inc. "
CRCW120668R0FKEA ,50 ,Vishay 
EEUFC1V121BJ ,50 ,Panasonic 
NAS514P440-8P ,50 ,National Aerospace 
NAS679A3 ,50 ,Alcoa 
NK25A11192 ,50 ,Winchester Electronics 
RD14/RDF50/ERD ,50 ,Astec 
RMC18-103JT ,50 ,N/A 
CR17345 ,48 ,Duracell 
XC2S200E-7PQ208C ,48 ,Xilinx 
MAX1649CSA ,47 ,Maxim Integrated 
2600LA50A ,46 ,CKE 
DBM9W4S ,46 ,ITT CANNON 
MC74F164N ,45 ,Motorola 
87333-2220 ,42 ,Molex 
DS5022P-103MLB ,42 ,Coilcraft 
EK B 3D 331K 06 FF1 ,42 ,Samwha 
MT16LSDT6464AY-13ED2 ,42 ,"Micron Technology, Inc. "
SMLJ11CA ,42 ,Microsemi 
100562.01 ,40 ,Vossloh-Schwabe 
